sample,match_id,match_date,home_team,away_team,predicted_result,actual_result,predicted_score,actual_score,confidence_score,upset_probability,home_probability,draw_probability,away_probability,result_hit,score_hit
2022,357,2022-11-24T13:00:00,Switzerland,Cameroon,Home Win,Home Win,2-0,1-0,45.17,28.06,45.17,26.77,28.06,True,False
2022,363,2022-11-24T16:00:00,Uruguay,South Korea,Home Win,Draw,2-1,0-0,47.46,28.2,47.46,24.34,28.2,False,False
2022,364,2022-11-24T19:00:00,Portugal,Ghana,Home Win,Home Win,2-1,3-2,45.01,28.23,45.01,26.77,28.23,True,False
2022,358,2022-11-24T22:00:00,Brazil,Serbia,Home Win,Home Win,2-0,2-0,54.64,22.95,54.64,22.41,22.95,True,True
2022,329,2022-11-25T13:00:00,Wales,Iran,Draw,Away Win,0-0,0-2,32.92,32.92,41.06,32.92,26.02,False,False
2022,323,2022-11-25T16:00:00,Qatar,Senegal,Away Win,Away Win,0-1,1-3,45.01,27.78,27.21,27.78,45.01,True,False
2022,324,2022-11-25T19:00:00,Netherlands,Ecuador,Home Win,Draw,1-0,1-1,53.31,24.63,53.31,22.06,24.63,False,False
2022,330,2022-11-25T22:00:00,England,USA,Home Win,Draw,1-0,0-0,46.5,27.73,46.5,25.77,27.73,False,False
2022,341,2022-11-26T13:00:00,Tunisia,Australia,Home Win,Away Win,2-1,0-1,37.48,32.89,37.48,29.63,32.89,False,False
2022,335,2022-11-26T16:00:00,Poland,Saudi Arabia,Home Win,Home Win,2-1,2-0,46.86,27.06,46.86,26.08,27.06,True,False
2022,342,2022-11-26T19:00:00,France,Denmark,Home Win,Home Win,2-1,2-1,48.19,27.37,48.19,24.44,27.37,True,True
2022,336,2022-11-26T22:00:00,Argentina,Mexico,Home Win,Home Win,2-0,2-0,44.74,29.12,44.74,26.13,29.12,True,True
2022,347,2022-11-27T13:00:00,Japan,Costa Rica,Draw,Away Win,1-1,0-1,30.2,32.27,37.53,30.2,32.27,False,False
2022,353,2022-11-27T16:00:00,Belgium,Morocco,Home Win,Away Win,1-0,0-2,47.27,27.85,47.27,24.88,27.85,False,False
2022,354,2022-11-27T19:00:00,Croatia,Canada,Home Win,Home Win,1-0,4-1,48.2,28.28,48.2,28.28,23.52,True,False
2022,348,2022-11-27T22:00:00,Spain,Germany,Away Win,Draw,1-3,1-1,37.57,32.46,32.46,29.97,37.57,False,False
2022,359,2022-11-28T13:00:00,Cameroon,Serbia,Draw,Draw,0-0,3-3,30.92,30.92,28.74,30.92,40.35,True,False
2022,365,2022-11-28T16:00:00,South Korea,Ghana,Away Win,Away Win,1-2,2-3,39.03,33.47,33.47,27.51,39.03,True,False
2022,360,2022-11-28T19:00:00,Brazil,Switzerland,Home Win,Home Win,3-1,1-0,51.81,25.8,51.81,22.38,25.8,True,False
2022,366,2022-11-28T22:00:00,Portugal,Uruguay,Draw,Home Win,1-1,2-0,30.44,32.88,36.69,30.44,32.88,False,False
2022,325,2022-11-29T18:00:00,Ecuador,Senegal,Away Win,Away Win,0-1,1-2,36.26,34.83,34.83,28.9,36.26,True,False
2022,326,2022-11-29T18:00:00,Netherlands,Qatar,Home Win,Home Win,3-0,2-0,63.04,19.1,63.04,19.1,17.86,True,False
2022,331,2022-11-29T22:00:00,Wales,England,Away Win,Away Win,0-1,0-3,45.43,28.35,26.21,28.35,45.43,True,False
2022,332,2022-11-29T22:00:00,Iran,USA,Draw,Away Win,1-1,0-1,31.6,31.6,29.74,31.6,38.66,False,False
2022,343,2022-11-30T18:00:00,Australia,Denmark,Away Win,Home Win,0-2,1-0,45.11,28.35,28.35,26.54,45.11,False,False
2022,344,2022-11-30T18:00:00,Tunisia,France,Away Win,Home Win,1-2,1-0,57.77,21.27,20.96,21.27,57.77,False,False
2022,337,2022-11-30T22:00:00,Poland,Argentina,Away Win,Away Win,0-2,0-2,45.39,29.84,29.84,24.77,45.39,True,True
2022,338,2022-11-30T22:00:00,Saudi Arabia,Mexico,Away Win,Away Win,0-2,1-2,48.02,28.06,28.06,23.92,48.02,True,False
2022,355,2022-12-01T18:00:00,Croatia,Belgium,Home Win,Draw,2-1,0-0,35.98,35.11,35.98,28.91,35.11,False,False
2022,356,2022-12-01T18:00:00,Canada,Morocco,Draw,Away Win,0-0,1-2,30.45,30.45,26.47,30.45,43.08,False,False
2022,349,2022-12-01T22:00:00,Japan,Spain,Away Win,Home Win,1-2,2-1,49.42,26.35,26.35,24.23,49.42,False,False
2022,350,2022-12-01T22:00:00,Costa Rica,Germany,Away Win,Away Win,0-2,2-4,53.55,23.81,23.81,22.64,53.55,True,False
2022,367,2022-12-02T18:00:00,Ghana,Uruguay,Away Win,Away Win,0-2,0-2,41.02,31.64,31.64,27.34,41.02,True,True
2022,368,2022-12-02T18:00:00,South Korea,Portugal,Away Win,Home Win,1-3,2-1,50.73,25.82,25.82,23.45,50.73,False,False
2022,361,2022-12-02T22:00:00,Serbia,Switzerland,Away Win,Away Win,0-2,2-3,38.36,32.25,32.25,29.39,38.36,True,False
2022,362,2022-12-02T22:00:00,Cameroon,Brazil,Away Win,Home Win,1-2,1-0,60.93,20.4,18.67,20.4,60.93,False,False
2022,369,2022-12-03T18:00:00,Netherlands,USA,Home Win,Home Win,1-0,3-1,52.57,24.89,52.57,24.89,22.54,True,False
2022,370,2022-12-03T22:00:00,Argentina,Australia,Home Win,Home Win,2-1,2-1,52.6,24.12,52.6,23.28,24.12,True,True
2022,371,2022-12-04T18:00:00,France,Poland,Home Win,Home Win,2-1,3-1,50.03,25.61,50.03,24.37,25.61,True,False
2022,372,2022-12-04T22:00:00,England,Senegal,Home Win,Home Win,2-1,3-0,42.03,29.25,42.03,28.72,29.25,True,False
2022,373,2022-12-05T18:00:00,Japan,Croatia,Away Win,Draw,0-2,1-1,43.14,28.85,28.01,28.85,43.14,False,False
2022,374,2022-12-05T22:00:00,Brazil,South Korea,Home Win,Home Win,2-1,4-1,55.27,23.53,55.27,23.53,21.19,True,False
2022,375,2022-12-06T18:00:00,Morocco,Spain,Away Win,Draw,1-2,0-0,45.07,28.82,28.82,26.11,45.07,False,False
2022,376,2022-12-06T22:00:00,Portugal,Switzerland,Home Win,Home Win,4-2,6-1,39.63,31.27,39.63,29.09,31.27,True,False
2022,377,2022-12-09T18:00:00,Croatia,Brazil,Away Win,Draw,1-2,0-0,45.82,27.83,27.83,26.35,45.82,False,False
2022,378,2022-12-09T22:00:00,Netherlands,Argentina,Draw,Draw,1-1,2-2,30.81,30.81,40.53,30.81,28.66,True,False
2022,379,2022-12-10T18:00:00,Morocco,Portugal,Away Win,Home Win,1-2,1-0,43.38,28.38,28.24,28.38,43.38,False,False
2022,380,2022-12-10T22:00:00,England,France,Draw,Away Win,2-2,1-2,32.23,32.23,31.57,32.23,36.2,False,False
2022,381,2022-12-13T22:00:00,Argentina,Croatia,Home Win,Home Win,2-1,3-0,39.01,31.53,39.01,29.47,31.53,True,False
2022,382,2022-12-14T22:00:00,France,Morocco,Home Win,Home Win,2-0,2-0,49.4,25.45,49.4,25.45,25.15,True,True
2022,383,2022-12-17T18:00:00,Croatia,Morocco,Draw,Home Win,0-0,2-1,31.38,31.38,37.45,31.38,31.17,False,False
2022,384,2022-12-18T18:00:00,Argentina,France,Draw,Draw,3-3,2-2,31.24,31.24,31.19,31.24,37.57,True,False
2026_live,1,2026-06-09T02:45:00,荷兰,乌兹别克斯坦,Home Win,Home Win,1-1,2-1,80.4,37.6,58.39,21.83,19.78,True,False
2026_live,22,2026-06-09T03:10:00,法国,北爱尔兰,Home Win,Home Win,2-0,3-1,82.8,29.3,60.6,21.6,17.8,True,False
2026_live,23,2026-06-09T10:00:00,秘鲁,西班牙,Away Win,Away Win,0-2,1-3,86.7,19.2,11.48,20.19,68.33,True,False
2026_live,28,2026-06-09T19:35:00,中国,泰国,Away Win,Draw,1-1,0-0,60.8,33.3,25.41,23.62,50.96,False,False
2026_live,29,2026-06-10T01:00:00,匈牙利,哈萨克斯坦,Home Win,Home Win,1-1,3-1,70.3,55.5,54.39,23.54,22.07,True,False
2026_live,30,2026-06-10T08:30:00,阿根廷,冰岛,Home Win,Home Win,2-0,3-0,83.4,22.7,65.48,20.63,13.9,True,False
2026_live,32,2026-06-11T03:45:00,葡萄牙,尼日利亚,Home Win,Home Win,2-1,2-1,62.1,47.4,52.1,22.78,25.12,True,True
2026_live,33,2026-06-11T04:00:00,英格兰,哥斯达黎加,Home Win,Home Win,3-0,3-0,95.7,19.6,71.21,18.08,10.71,True,True
2026_live,2,2026-06-12T03:00:00,墨西哥,南非,Home Win,Home Win,2-0,2-0,77.9,35.7,60.41,21.13,18.46,True,True
2026_live,3,2026-06-12T10:00:00,韩国,捷克,Draw,Home Win,1-1,2-1,44.9,56.4,33.03,27.53,39.44,False,False
2026_live,4,2026-06-13T03:00:00,加拿大,波黑,Draw,Draw,1-1,1-1,47.5,54.2,36.61,31.87,31.52,True,True
2026_live,5,2026-06-13T09:00:00,美国,巴拉圭,Home Win,Home Win,2-1,4-1,48.1,46.2,45.05,26.58,28.37,True,False
