tournament_year,team_name,country,confederation,fifa_ranking,elo_rating,squad_market_value_eur,average_age,total_caps,average_caps,world_cup_history_score,recent_two_year_rating,projected_starting_xi,key_injuries,coach,last_world_cup_finish,source,captured_at
2026,Paraguay,Paraguay,CONMEBOL,40,1834.0,153650000.0,29.1,,,,0.5185,[],[],,Did not qualify 2022,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Portugal,Portugal,UEFA,5,1986.0,1010000000.0,28.1,,,,0.7222,[],[],,Quarter-final,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Qatar,Qatar,AFC,55,1421.0,19930000.0,29.5,,,,0.6111,[],[],,Qualified 2022,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Saudi Arabia,Saudi Arabia,AFC,61,1576.0,40680000.0,28.5,,,,0.5556,[],[],,Qualified 2022,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Scotland,Scotland,UEFA,43,1782.0,170250000.0,29.2,,,,0.7222,[],[],,Did not qualify 2022,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Senegal,Senegal,CAF,14,1860.0,478100000.0,27.1,,,,0.8,[],[],,Round of 16,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,South Africa,South Africa,CAF,60,1517.0,49250000.0,26.8,,,,0.6667,[],[],,Did not qualify 2022,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Spain,Spain,UEFA,2,2157.0,1220000000.0,26.8,,,,0.8889,[],[],,Round of 16,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Sweden,Sweden,UEFA,38,1712.0,406080000.0,27.6,,,,0.3333,[],[],,Did not qualify 2022,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Switzerland,Switzerland,UEFA,19,1891.0,332500000.0,28.3,,,,0.7778,[],[],,Round of 16,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Tunisia,Tunisia,CAF,44,1628.0,69950000.0,26.7,,,,0.9333,[],[],,Qualified 2022,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Turkiye,Turkiye,UEFA,22,1911.0,473700000.0,27.7,,,,,[],[],,Did not qualify 2022,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,USA,USA,CONCACAF,16,1726.0,385650000.0,26.9,,,,,[],[],,Round of 16,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Uruguay,Uruguay,CONMEBOL,17,1892.0,359300000.0,28.8,,,,0.5185,[],[],,Qualified 2022,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
2026,Uzbekistan,Uzbekistan,AFC,50,1714.0,85330000.0,28.5,,,,0.7292,[],[],,Did not qualify 2022,Transfermarkt World Cup participants and FIFA world ranking pages; Football-Data WorldCup2026Qualifiers; local WorldCup 2022 results; https://eloratings.net/World.tsv,
