tournament_year,match_id,match_date,home_team,away_team,home_win_odds,draw_odds,away_win_odds,handicap,handicap_home_odds,handicap_draw_odds,handicap_away_odds,captured_at,source,result
2018,285,2018-06-27 21:00:00,Serbia,Brazil,8.5,4.72,1.41,,,,,2018-06-28 02:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Away Win
2018,286,2018-06-27 21:00:00,Switzerland,Costa Rica,1.55,3.74,8.0,,,,,2018-06-28 02:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Draw
2018,303,2018-06-28 17:00:00,Japan,Poland,2.57,3.03,3.02,,,,,2018-06-28 22:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Away Win
2018,304,2018-06-28 18:00:00,Senegal,Colombia,5.55,3.64,1.67,,,,,2018-06-28 22:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Away Win
2018,297,2018-06-28 20:00:00,England,Belgium,2.63,2.74,3.25,,,,,2018-06-29 02:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Away Win
2018,298,2018-06-28 21:00:00,Panama,Tunisia,4.64,3.7,1.77,,,,,2018-06-29 02:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Away Win
2018,305,2018-06-30 17:00:00,France,Argentina,2.38,3.03,3.3,,,,,2018-06-30 22:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Home Win
2018,306,2018-06-30 21:00:00,Uruguay,Portugal,3.08,2.91,2.61,,,,,2018-07-01 02:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Home Win
2018,307,2018-07-01 17:00:00,Spain,Russia,1.51,4.11,6.83,,,,,2018-07-01 22:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Draw
2018,308,2018-07-01 21:00:00,Croatia,Denmark,1.84,3.21,5.04,,,,,2018-07-02 02:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Draw
2018,309,2018-07-02 18:00:00,Brazil,Mexico,1.45,4.29,7.75,,,,,2018-07-02 22:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Home Win
2018,310,2018-07-02 21:00:00,Belgium,Japan,1.35,4.69,9.85,,,,,2018-07-03 02:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Home Win
2018,311,2018-07-03 17:00:00,Sweden,Switzerland,3.3,2.88,2.49,,,,,2018-07-03 22:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Home Win
2018,312,2018-07-03 21:00:00,Colombia,England,4.09,3.03,2.09,,,,,2018-07-04 02:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Draw
2018,313,2018-07-06 17:00:00,Uruguay,France,5.15,3.03,1.89,,,,,2018-07-06 22:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Away Win
2018,314,2018-07-06 21:00:00,Brazil,Belgium,1.96,3.41,3.98,,,,,2018-07-07 02:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Away Win
2018,315,2018-07-07 18:00:00,Sweden,England,5.4,3.25,1.72,,,,,2018-07-07 22:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Away Win
2018,316,2018-07-07 21:00:00,Russia,Croatia,3.91,3.13,2.1,,,,,2018-07-08 02:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Draw
2018,317,2018-07-10 21:00:00,France,Belgium,2.54,3.03,3.03,,,,,2018-07-11 02:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Home Win
2018,318,2018-07-11 21:00:00,Croatia,England,4.21,2.93,2.12,,,,,2018-07-12 02:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Draw
2018,319,2018-07-14 17:00:00,Belgium,England,2.07,3.68,3.36,,,,,2018-07-14 22:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Home Win
2018,320,2018-07-15 18:00:00,France,Croatia,1.99,2.94,4.8,,,,,2018-07-15 23:00:00,https://www.oddsportal.com/football/world/world-cup-2018/results/#ajax-page-1,Home Win
