match_id,year,match_date,match,prediction_type,actual_result,hit,predicted_score,home_probability,draw_probability,away_probability,confidence_score,upset_probability,odds,return_units,roi
334,2022,2022-11-22T19:00:00,Mexico vs Poland,Home Win,Draw,False,2-0,36.13,29.29,34.58,36.13,63.87,2.48,0.0,-100.0
340,2022,2022-11-22T22:00:00,France vs Australia,Home Win,Home Win,True,2-1,58.57,20.61,20.82,58.57,41.43,1.22,1.22,22.0
351,2022,2022-11-23T13:00:00,Morocco vs Croatia,Away Win,Draw,False,0-2,27.96,28.14,43.9,43.9,56.1,2.19,0.0,-100.0
345,2022,2022-11-23T16:00:00,Germany vs Japan,Home Win,Away Win,False,2-1,54.5,22.57,22.92,54.5,45.5,1.43,0.0,-100.0
346,2022,2022-11-23T19:00:00,Spain vs Costa Rica,Home Win,Home Win,True,2-0,46.81,25.08,28.11,46.81,53.19,1.16,1.16,16.0
352,2022,2022-11-23T22:00:00,Belgium vs Canada,Home Win,Home Win,True,1-0,52.79,23.28,23.93,52.79,47.21,1.59,1.59,59.0
357,2022,2022-11-24T13:00:00,Switzerland vs Cameroon,Home Win,Home Win,True,2-0,45.17,26.77,28.06,45.17,54.83,1.82,1.82,82.0
363,2022,2022-11-24T16:00:00,Uruguay vs South Korea,Home Win,Draw,False,2-1,47.46,24.34,28.2,47.46,52.54,1.79,0.0,-100.0
364,2022,2022-11-24T19:00:00,Portugal vs Ghana,Home Win,Home Win,True,2-1,45.01,26.77,28.23,45.01,54.99,1.32,1.32,32.0
358,2022,2022-11-24T22:00:00,Brazil vs Serbia,Home Win,Home Win,True,2-0,54.64,22.41,22.95,54.64,45.36,1.46,1.46,46.0
329,2022,2022-11-25T13:00:00,Wales vs Iran,Draw,Away Win,False,0-0,41.06,32.92,26.02,32.92,58.94,3.22,0.0,-100.0
323,2022,2022-11-25T16:00:00,Qatar vs Senegal,Away Win,Away Win,True,0-1,27.21,27.78,45.01,45.01,54.99,1.73,1.73,73.0
324,2022,2022-11-25T19:00:00,Netherlands vs Ecuador,Home Win,Draw,False,1-0,53.31,22.06,24.63,53.31,46.69,1.83,0.0,-100.0
330,2022,2022-11-25T22:00:00,England vs USA,Home Win,Draw,False,1-0,46.5,25.77,27.73,46.5,53.5,1.46,0.0,-100.0
341,2022,2022-11-26T13:00:00,Tunisia vs Australia,Home Win,Away Win,False,2-1,37.48,29.63,32.89,37.48,62.52,2.2,0.0,-100.0
335,2022,2022-11-26T16:00:00,Poland vs Saudi Arabia,Home Win,Home Win,True,2-1,46.86,26.08,27.06,46.86,53.14,1.73,1.73,73.0
342,2022,2022-11-26T19:00:00,France vs Denmark,Home Win,Home Win,True,2-1,48.19,24.44,27.37,48.19,51.81,1.79,1.79,79.0
336,2022,2022-11-26T22:00:00,Argentina vs Mexico,Home Win,Home Win,True,2-0,44.74,26.13,29.12,44.74,55.26,1.54,1.54,54.0
347,2022,2022-11-27T13:00:00,Japan vs Costa Rica,Draw,Away Win,False,1-1,37.53,30.2,32.27,30.2,62.47,4.37,0.0,-100.0
