condition_id,condition,match_id,year,match,actual_result,predicted_result,is_actual_draw,draw_probability,win_probability_gap,predicted_total_goals,upset_probability
C02,Draw Probability >= 27%,295,2018,Belgium vs Tunisia,Home Win,Home Win,False,27.7,16.77,1,55.53
C02,Draw Probability >= 27%,301,2018,Japan vs Senegal,Draw,Away Win,True,27.51,15.32,1,57.17
C02,Draw Probability >= 27%,302,2018,Poland vs Colombia,Away Win,Away Win,False,29.04,9.0,3,61.95
C02,Draw Probability >= 27%,262,2018,Saudi Arabia vs Egypt,Home Win,Away Win,False,27.32,17.56,3,55.12
C02,Draw Probability >= 27%,261,2018,Uruguay vs Russia,Home Win,Home Win,False,27.07,9.65,6,63.78
C02,Draw Probability >= 27%,273,2018,Denmark vs France,Draw,Away Win,True,27.26,15.84,3,56.91
C02,Draw Probability >= 27%,274,2018,Australia vs Peru,Away Win,Away Win,False,29.28,7.68,3,63.04
C02,Draw Probability >= 27%,280,2018,Iceland vs Croatia,Away Win,Draw,False,30.28,13.62,2,56.1
C02,Draw Probability >= 27%,292,2018,Mexico vs Sweden,Away Win,Away Win,False,29.66,7.12,2,66.45
C02,Draw Probability >= 27%,286,2018,Switzerland vs Costa Rica,Draw,Home Win,True,28.82,10.24,2,60.95
C02,Draw Probability >= 27%,303,2018,Japan vs Poland,Away Win,Away Win,False,27.75,10.42,2,65.91
C02,Draw Probability >= 27%,304,2018,Senegal vs Colombia,Away Win,Away Win,False,29.52,7.11,3,63.37
C02,Draw Probability >= 27%,297,2018,England vs Belgium,Away Win,Home Win,False,28.65,10.26,2,61.09
C02,Draw Probability >= 27%,305,2018,France vs Argentina,Home Win,Draw,False,33.75,0.01,2,66.24
C02,Draw Probability >= 27%,306,2018,Uruguay vs Portugal,Home Win,Draw,False,30.01,8.04,4,61.95
C02,Draw Probability >= 27%,308,2018,Croatia vs Denmark,Draw,Draw,True,30.75,6.47,2,62.77
C02,Draw Probability >= 27%,310,2018,Belgium vs Japan,Home Win,Home Win,False,27.87,16.6,1,55.53
C02,Draw Probability >= 27%,311,2018,Sweden vs Switzerland,Home Win,Home Win,False,29.28,9.15,3,67.71
C02,Draw Probability >= 27%,312,2018,Colombia vs England,Draw,Draw,True,31.88,3.79,2,64.33
C02,Draw Probability >= 27%,314,2018,Brazil vs Belgium,Away Win,Home Win,False,27.2,18.58,4,54.22
C02,Draw Probability >= 27%,315,2018,Sweden vs England,Away Win,Draw,False,30.54,5.53,2,63.93
C02,Draw Probability >= 27%,316,2018,Russia vs Croatia,Draw,Away Win,True,27.95,13.97,3,58.08
C02,Draw Probability >= 27%,317,2018,France vs Belgium,Home Win,Draw,False,31.32,8.03,2,60.65
C02,Draw Probability >= 27%,318,2018,Croatia vs England,Draw,Draw,True,30.77,5.37,2,63.86
C02,Draw Probability >= 27%,319,2018,Belgium vs England,Home Win,Away Win,False,28.39,9.14,2,65.93
C02,Draw Probability >= 27%,320,2018,France vs Croatia,Home Win,Home Win,False,28.45,12.85,3,58.7
C02,Draw Probability >= 27%,321,2022,Qatar vs Ecuador,Away Win,Draw,False,31.02,3.56,2,65.43
C02,Draw Probability >= 27%,328,2022,USA vs Wales,Draw,Draw,True,34.58,-0.32,0,68.83
C02,Draw Probability >= 27%,334,2022,Mexico vs Poland,Draw,Home Win,True,29.29,6.84,2,63.87
